mortgages_grouped_by,category,postcode_region,date,number_of_sales
Number of sales by loan-to-value (LTV) ratio,>90% - <=95%,Unknown Region,Q2-2017,84
Number of sales by loan-to-value (LTV) ratio,>90% - <=95%,Unknown Region,Q3-2021,11
Number of sales by loan-to-value (LTV) ratio,>90% - <=95%,Unknown Region,Q3-2020,23
Number of sales by loan-to-value (LTV) ratio,>90% - <=95%,Unknown Region,Q3-2019,54
Number of sales by loan-to-value (LTV) ratio,>90% - <=95%,Unknown Region,Q3-2018,63
Number of sales by loan-to-value (LTV) ratio,>90% - <=95%,Unknown Region,Q3-2017,68
Number of sales by loan-to-value (LTV) ratio,>90% - <=95%,Unknown Region,Q4-2020,9
Number of sales by loan-to-value (LTV) ratio,>90% - <=95%,Unknown Region,Q4-2021,12
Number of sales by loan-to-value (LTV) ratio,>90% - <=95%,Unknown Region,Q4-2019,54
Number of sales by loan-to-value (LTV) ratio,>90% - <=95%,Unknown Region,Q4-2017,69
Number of sales by loan-to-value (LTV) ratio,>90% - <=95%,Unknown Region,Q4-2018,86
Number of sales by loan-to-value (LTV) ratio,>95%,London,Q1-2021,29
Number of sales by loan-to-value (LTV) ratio,>95%,London,Q1-2019,68
Number of sales by loan-to-value (LTV) ratio,>95%,London,Q1-2017,72
Number of sales by loan-to-value (LTV) ratio,>95%,London,Q1-2018,80
Number of sales by loan-to-value (LTV) ratio,>95%,London,Q1-2020,89
Number of sales by loan-to-value (LTV) ratio,>95%,London,Q2-2021,46
Number of sales by loan-to-value (LTV) ratio,>95%,London,Q2-2020,53
Number of sales by loan-to-value (LTV) ratio,>95%,London,Q2-2017,72
Number of sales by loan-to-value (LTV) ratio,>95%,London,Q2-2018,76
Number of sales by loan-to-value (LTV) ratio,>95%,London,Q2-2019,78
Number of sales by loan-to-value (LTV) ratio,>95%,London,Q3-2021,30
Number of sales by loan-to-value (LTV) ratio,>95%,London,Q3-2020,53
Number of sales by loan-to-value (LTV) ratio,>95%,London,Q3-2019,87
Number of sales by loan-to-value (LTV) ratio,>95%,London,Q3-2018,107
Number of sales by loan-to-value (LTV) ratio,>95%,London,Q3-2017,109
Number of sales by loan-to-value (LTV) ratio,>95%,London,Q4-2020,25
Number of sales by loan-to-value (LTV) ratio,>95%,London,Q4-2021,39
Number of sales by loan-to-value (LTV) ratio,>95%,London,Q4-2017,79
Number of sales by loan-to-value (LTV) ratio,>95%,London,Q4-2018,87
Number of sales by loan-to-value (LTV) ratio,>95%,London,Q4-2019,87
Number of sales by loan-to-value (LTV) ratio,>95%,East Midlands,Q1-2021,31
Number of sales by loan-to-value (LTV) ratio,>95%,East Midlands,Q1-2018,97
Number of sales by loan-to-value (LTV) ratio,>95%,East Midlands,Q1-2017,103
Number of sales by loan-to-value (LTV) ratio,>95%,East Midlands,Q1-2019,107
Number of sales by loan-to-value (LTV) ratio,>95%,East Midlands,Q1-2020,135
Number of sales by loan-to-value (LTV) ratio,>95%,East Midlands,Q2-2021,51
Number of sales by loan-to-value (LTV) ratio,>95%,East Midlands,Q2-2020,76
Number of sales by loan-to-value (LTV) ratio,>95%,East Midlands,Q2-2017,102
Number of sales by loan-to-value (LTV) ratio,>95%,East Midlands,Q2-2018,112
Number of sales by loan-to-value (LTV) ratio,>95%,East Midlands,Q2-2019,133
Number of sales by loan-to-value (LTV) ratio,>95%,East Midlands,Q3-2020,54
Number of sales by loan-to-value (LTV) ratio,>95%,East Midlands,Q3-2021,74
Number of sales by loan-to-value (LTV) ratio,>95%,East Midlands,Q3-2019,107
Number of sales by loan-to-value (LTV) ratio,>95%,East Midlands,Q3-2017,119
Number of sales by loan-to-value (LTV) ratio,>95%,East Midlands,Q3-2018,126
Number of sales by loan-to-value (LTV) ratio,>95%,East Midlands,Q4-2020,39
Number of sales by loan-to-value (LTV) ratio,>95%,East Midlands,Q4-2021,81
Number of sales by loan-to-value (LTV) ratio,>95%,East Midlands,Q4-2017,91
Number of sales by loan-to-value (LTV) ratio,>95%,East Midlands,Q4-2019,109
Number of sales by loan-to-value (LTV) ratio,>95%,East Midlands,Q4-2018,136
Number of sales by loan-to-value (LTV) ratio,>95%,East of England,Q1-2021,35
Number of sales by loan-to-value (LTV) ratio,>95%,East of England,Q1-2017,115
Number of sales by loan-to-value (LTV) ratio,>95%,East of England,Q1-2019,120
Number of sales by loan-to-value (LTV) ratio,>95%,East of England,Q1-2020,132
Number of sales by loan-to-value (LTV) ratio,>95%,East of England,Q1-2018,144
Number of sales by loan-to-value (LTV) ratio,>95%,East of England,Q2-2020,71
Number of sales by loan-to-value (LTV) ratio,>95%,East of England,Q2-2021,73
Number of sales by loan-to-value (LTV) ratio,>95%,East of England,Q2-2019,112
Number of sales by loan-to-value (LTV) ratio,>95%,East of England,Q2-2017,134
Number of sales by loan-to-value (LTV) ratio,>95%,East of England,Q2-2018,152
Number of sales by loan-to-value (LTV) ratio,>95%,East of England,Q3-2020,63
Number of sales by loan-to-value (LTV) ratio,>95%,East of England,Q3-2021,77
Number of sales by loan-to-value (LTV) ratio,>95%,East of England,Q3-2019,137
Number of sales by loan-to-value (LTV) ratio,>95%,East of England,Q3-2018,166
Number of sales by loan-to-value (LTV) ratio,>95%,East of England,Q3-2017,192
Number of sales by loan-to-value (LTV) ratio,>95%,East of England,Q4-2020,47
Number of sales by loan-to-value (LTV) ratio,>95%,East of England,Q4-2021,78
Number of sales by loan-to-value (LTV) ratio,>95%,East of England,Q4-2019,141
Number of sales by loan-to-value (LTV) ratio,>95%,East of England,Q4-2018,148
Number of sales by loan-to-value (LTV) ratio,>95%,East of England,Q4-2017,156
Number of sales by loan-to-value (LTV) ratio,>95%,North East,Q1-2021,18
Number of sales by loan-to-value (LTV) ratio,>95%,North East,Q1-2019,32
Number of sales by loan-to-value (LTV) ratio,>95%,North East,Q1-2017,34
Number of sales by loan-to-value (LTV) ratio,>95%,North East,Q1-2018,40
Number of sales by loan-to-value (LTV) ratio,>95%,North East,Q1-2020,46
Number of sales by loan-to-value (LTV) ratio,>95%,North East,Q2-2017,30
Number of sales by loan-to-value (LTV) ratio,>95%,North East,Q2-2020,30
Number of sales by loan-to-value (LTV) ratio,>95%,North East,Q2-2018,35
Number of sales by loan-to-value (LTV) ratio,>95%,North East,Q2-2021,38
Number of sales by loan-to-value (LTV) ratio,>95%,North East,Q2-2019,45
Number of sales by loan-to-value (LTV) ratio,>95%,North East,Q3-2020,30
Number of sales by loan-to-value (LTV) ratio,>95%,North East,Q3-2018,34
Number of sales by loan-to-value (LTV) ratio,>95%,North East,Q3-2019,38
Number of sales by loan-to-value (LTV) ratio,>95%,North East,Q3-2017,52
Number of sales by loan-to-value (LTV) ratio,>95%,North East,Q3-2021,109
Number of sales by loan-to-value (LTV) ratio,>95%,North East,Q4-2020,21
Number of sales by loan-to-value (LTV) ratio,>95%,North East,Q4-2017,43
Number of sales by loan-to-value (LTV) ratio,>95%,North East,Q4-2021,52
Number of sales by loan-to-value (LTV) ratio,>95%,North East,Q4-2019,53
Number of sales by loan-to-value (LTV) ratio,>95%,North East,Q4-2018,55
Number of sales by loan-to-value (LTV) ratio,>95%,North West,Q1-2021,59
Number of sales by loan-to-value (LTV) ratio,>95%,North West,Q1-2019,114
Number of sales by loan-to-value (LTV) ratio,>95%,North West,Q1-2018,120
Number of sales by loan-to-value (LTV) ratio,>95%,North West,Q1-2017,130
Number of sales by loan-to-value (LTV) ratio,>95%,North West,Q1-2020,148
Number of sales by loan-to-value (LTV) ratio,>95%,North West,Q2-2020,88
Number of sales by loan-to-value (LTV) ratio,>95%,North West,Q2-2021,103
Number of sales by loan-to-value (LTV) ratio,>95%,North West,Q2-2018,119
Number of sales by loan-to-value (LTV) ratio,>95%,North West,Q2-2019,140
Number of sales by loan-to-value (LTV) ratio,>95%,North West,Q2-2017,161
Number of sales by loan-to-value (LTV) ratio,>95%,North West,Q3-2020,84
Number of sales by loan-to-value (LTV) ratio,>95%,North West,Q3-2018,136
Number of sales by loan-to-value (LTV) ratio,>95%,North West,Q3-2019,145
Number of sales by loan-to-value (LTV) ratio,>95%,North West,Q3-2021,186
Number of sales by loan-to-value (LTV) ratio,>95%,North West,Q3-2017,200
Number of sales by loan-to-value (LTV) ratio,>95%,North West,Q4-2020,84
Number of sales by loan-to-value (LTV) ratio,>95%,North West,Q4-2019,118
Number of sales by loan-to-value (LTV) ratio,>95%,North West,Q4-2017,132
Number of sales by loan-to-value (LTV) ratio,>95%,North West,Q4-2021,156
Number of sales by loan-to-value (LTV) ratio,>95%,North West,Q4-2018,175
Number of sales by loan-to-value (LTV) ratio,>95%,Northern Ireland,Q1-2021,6
Number of sales by loan-to-value (LTV) ratio,>95%,Northern Ireland,Q1-2020,7
Number of sales by loan-to-value (LTV) ratio,>95%,Northern Ireland,Q1-2019,19
Number of sales by loan-to-value (LTV) ratio,>95%,Northern Ireland,Q1-2018,23
Number of sales by loan-to-value (LTV) ratio,>95%,Northern Ireland,Q1-2017,27
Number of sales by loan-to-value (LTV) ratio,>95%,Northern Ireland,Q2-2020,3
Number of sales by loan-to-value (LTV) ratio,>95%,Northern Ireland,Q2-2021,5
Number of sales by loan-to-value (LTV) ratio,>95%,Northern Ireland,Q2-2018,20
Number of sales by loan-to-value (LTV) ratio,>95%,Northern Ireland,Q2-2019,21
Number of sales by loan-to-value (LTV) ratio,>95%,Northern Ireland,Q2-2017,47
Number of sales by loan-to-value (LTV) ratio,>95%,Northern Ireland,Q3-2020,3
Number of sales by loan-to-value (LTV) ratio,>95%,Northern Ireland,Q3-2021,4
Number of sales by loan-to-value (LTV) ratio,>95%,Northern Ireland,Q3-2019,14
Number of sales by loan-to-value (LTV) ratio,>95%,Northern Ireland,Q3-2018,15
Number of sales by loan-to-value (LTV) ratio,>95%,Northern Ireland,Q3-2017,41
Number of sales by loan-to-value (LTV) ratio,>95%,Northern Ireland,Q4-2020,3
Number of sales by loan-to-value (LTV) ratio,>95%,Northern Ireland,Q4-2021,3
Number of sales by loan-to-value (LTV) ratio,>95%,Northern Ireland,Q4-2019,16
Number of sales by loan-to-value (LTV) ratio,>95%,Northern Ireland,Q4-2018,20
Number of sales by loan-to-value (LTV) ratio,>95%,Northern Ireland,Q4-2017,33
Number of sales by loan-to-value (LTV) ratio,>95%,Scotland,Q1-2021,25
Number of sales by loan-to-value (LTV) ratio,>95%,Scotland,Q1-2018,45
Number of sales by loan-to-value (LTV) ratio,>95%,Scotland,Q1-2017,47
Number of sales by loan-to-value (LTV) ratio,>95%,Scotland,Q1-2019,62
Number of sales by loan-to-value (LTV) ratio,>95%,Scotland,Q1-2020,72
Number of sales by loan-to-value (LTV) ratio,>95%,Scotland,Q2-2020,35
Number of sales by loan-to-value (LTV) ratio,>95%,Scotland,Q2-2021,66
Number of sales by loan-to-value (LTV) ratio,>95%,Scotland,Q2-2017,75
Number of sales by loan-to-value (LTV) ratio,>95%,Scotland,Q2-2019,79
Number of sales by loan-to-value (LTV) ratio,>95%,Scotland,Q2-2018,81
Number of sales by loan-to-value (LTV) ratio,>95%,Scotland,Q3-2020,35
Number of sales by loan-to-value (LTV) ratio,>95%,Scotland,Q3-2019,88
Number of sales by loan-to-value (LTV) ratio,>95%,Scotland,Q3-2018,95
Number of sales by loan-to-value (LTV) ratio,>95%,Scotland,Q3-2017,97
Number of sales by loan-to-value (LTV) ratio,>95%,Scotland,Q3-2021,119
Number of sales by loan-to-value (LTV) ratio,>95%,Scotland,Q4-2020,32
Number of sales by loan-to-value (LTV) ratio,>95%,Scotland,Q4-2017,56
Number of sales by loan-to-value (LTV) ratio,>95%,Scotland,Q4-2018,92
Number of sales by loan-to-value (LTV) ratio,>95%,Scotland,Q4-2019,98
Number of sales by loan-to-value (LTV) ratio,>95%,Scotland,Q4-2021,114
Number of sales by loan-to-value (LTV) ratio,>95%,South East,Q1-2021,54
Number of sales by loan-to-value (LTV) ratio,>95%,South East,Q1-2019,99
Number of sales by loan-to-value (LTV) ratio,>95%,South East,Q1-2017,103
Number of sales by loan-to-value (LTV) ratio,>95%,South East,Q1-2018,121
Number of sales by loan-to-value (LTV) ratio,>95%,South East,Q1-2020,128
Number of sales by loan-to-value (LTV) ratio,>95%,South East,Q2-2021,67
Number of sales by loan-to-value (LTV) ratio,>95%,South East,Q2-2020,68
Number of sales by loan-to-value (LTV) ratio,>95%,South East,Q2-2019,115
Number of sales by loan-to-value (LTV) ratio,>95%,South East,Q2-2017,132
Number of sales by loan-to-value (LTV) ratio,>95%,South East,Q2-2018,138
Number of sales by loan-to-value (LTV) ratio,>95%,South East,Q3-2020,75
Number of sales by loan-to-value (LTV) ratio,>95%,South East,Q3-2021,84
Number of sales by loan-to-value (LTV) ratio,>95%,South East,Q3-2019,129
Number of sales by loan-to-value (LTV) ratio,>95%,South East,Q3-2018,150
Number of sales by loan-to-value (LTV) ratio,>95%,South East,Q3-2017,164
Number of sales by loan-to-value (LTV) ratio,>95%,South East,Q4-2020,38
Number of sales by loan-to-value (LTV) ratio,>95%,South East,Q4-2021,74
Number of sales by loan-to-value (LTV) ratio,>95%,South East,Q4-2019,125
Number of sales by loan-to-value (LTV) ratio,>95%,South East,Q4-2017,135
Number of sales by loan-to-value (LTV) ratio,>95%,South East,Q4-2018,155
Number of sales by loan-to-value (LTV) ratio,>95%,South West,Q1-2021,64
Number of sales by loan-to-value (LTV) ratio,>95%,South West,Q1-2018,121
Number of sales by loan-to-value (LTV) ratio,>95%,South West,Q1-2019,147
Number of sales by loan-to-value (LTV) ratio,>95%,South West,Q1-2017,149
Number of sales by loan-to-value (LTV) ratio,>95%,South West,Q1-2020,173
Number of sales by loan-to-value (LTV) ratio,>95%,South West,Q2-2021,89
Number of sales by loan-to-value (LTV) ratio,>95%,South West,Q2-2020,93
Number of sales by loan-to-value (LTV) ratio,>95%,South West,Q2-2019,147
Number of sales by loan-to-value (LTV) ratio,>95%,South West,Q2-2018,156
Number of sales by loan-to-value (LTV) ratio,>95%,South West,Q2-2017,173
Number of sales by loan-to-value (LTV) ratio,>95%,South West,Q3-2020,84
Number of sales by loan-to-value (LTV) ratio,>95%,South West,Q3-2021,107
Number of sales by loan-to-value (LTV) ratio,>95%,South West,Q3-2019,177
Number of sales by loan-to-value (LTV) ratio,>95%,South West,Q3-2017,215
Number of sales by loan-to-value (LTV) ratio,>95%,South West,Q3-2018,219
Number of sales by loan-to-value (LTV) ratio,>95%,South West,Q4-2020,47
Number of sales by loan-to-value (LTV) ratio,>95%,South West,Q4-2021,76
Number of sales by loan-to-value (LTV) ratio,>95%,South West,Q4-2017,136
Number of sales by loan-to-value (LTV) ratio,>95%,South West,Q4-2018,177
Number of sales by loan-to-value (LTV) ratio,>95%,South West,Q4-2019,192
Number of sales by loan-to-value (LTV) ratio,>95%,Wales,Q1-2021,21
Number of sales by loan-to-value (LTV) ratio,>95%,Wales,Q1-2020,40
Number of sales by loan-to-value (LTV) ratio,>95%,Wales,Q1-2017,41
Number of sales by loan-to-value (LTV) ratio,>95%,Wales,Q1-2019,45
Number of sales by loan-to-value (LTV) ratio,>95%,Wales,Q1-2018,47
Number of sales by loan-to-value (LTV) ratio,>95%,Wales,Q2-2020,23
Number of sales by loan-to-value (LTV) ratio,>95%,Wales,Q2-2018,31
Number of sales by loan-to-value (LTV) ratio,>95%,Wales,Q2-2017,36
Number of sales by loan-to-value (LTV) ratio,>95%,Wales,Q2-2019,38
Number of sales by loan-to-value (LTV) ratio,>95%,Wales,Q2-2021,46
Number of sales by loan-to-value (LTV) ratio,>95%,Wales,Q3-2020,22
Number of sales by loan-to-value (LTV) ratio,>95%,Wales,Q3-2018,38
Number of sales by loan-to-value (LTV) ratio,>95%,Wales,Q3-2017,51
Number of sales by loan-to-value (LTV) ratio,>95%,Wales,Q3-2019,55
Number of sales by loan-to-value (LTV) ratio,>95%,Wales,Q3-2021,61
Number of sales by loan-to-value (LTV) ratio,>95%,Wales,Q4-2020,12
Number of sales by loan-to-value (LTV) ratio,>95%,Wales,Q4-2017,41
Number of sales by loan-to-value (LTV) ratio,>95%,Wales,Q4-2018,42
Number of sales by loan-to-value (LTV) ratio,>95%,Wales,Q4-2019,51
Number of sales by loan-to-value (LTV) ratio,>95%,Wales,Q4-2021,73
Number of sales by loan-to-value (LTV) ratio,>95%,West Midlands,Q1-2021,28
Number of sales by loan-to-value (LTV) ratio,>95%,West Midlands,Q1-2017,96
Number of sales by loan-to-value (LTV) ratio,>95%,West Midlands,Q1-2018,99
Number of sales by loan-to-value (LTV) ratio,>95%,West Midlands,Q1-2019,101
Number of sales by loan-to-value (LTV) ratio,>95%,West Midlands,Q1-2020,131
Number of sales by loan-to-value (LTV) ratio,>95%,West Midlands,Q2-2021,47
Number of sales by loan-to-value (LTV) ratio,>95%,West Midlands,Q2-2020,60
Number of sales by loan-to-value (LTV) ratio,>95%,West Midlands,Q2-2018,89
Number of sales by loan-to-value (LTV) ratio,>95%,West Midlands,Q2-2017,104
Number of sales by loan-to-value (LTV) ratio,>95%,West Midlands,Q2-2019,113
Number of sales by loan-to-value (LTV) ratio,>95%,West Midlands,Q3-2020,47
Number of sales by loan-to-value (LTV) ratio,>95%,West Midlands,Q3-2021,90
Number of sales by loan-to-value (LTV) ratio,>95%,West Midlands,Q3-2019,117
Number of sales by loan-to-value (LTV) ratio,>95%,West Midlands,Q3-2018,119
Number of sales by loan-to-value (LTV) ratio,>95%,West Midlands,Q3-2017,161
Number of sales by loan-to-value (LTV) ratio,>95%,West Midlands,Q4-2020,27
Number of sales by loan-to-value (LTV) ratio,>95%,West Midlands,Q4-2021,88
Number of sales by loan-to-value (LTV) ratio,>95%,West Midlands,Q4-2017,100
Number of sales by loan-to-value (LTV) ratio,>95%,West Midlands,Q4-2019,103
Number of sales by loan-to-value (LTV) ratio,>95%,West Midlands,Q4-2018,119
Number of sales by loan-to-value (LTV) ratio,>95%,Yorkshire and The Humber,Q1-2021,34
Number of sales by loan-to-value (LTV) ratio,>95%,Yorkshire and The Humber,Q1-2017,63
Number of sales by loan-to-value (LTV) ratio,>95%,Yorkshire and The Humber,Q1-2019,70
Number of sales by loan-to-value (LTV) ratio,>95%,Yorkshire and The Humber,Q1-2018,71
Number of sales by loan-to-value (LTV) ratio,>95%,Yorkshire and The Humber,Q1-2020,119
Number of sales by loan-to-value (LTV) ratio,>95%,Yorkshire and The Humber,Q2-2020,69
Number of sales by loan-to-value (LTV) ratio,>95%,Yorkshire and The Humber,Q2-2021,86
Number of sales by loan-to-value (LTV) ratio,>95%,Yorkshire and The Humber,Q2-2018,88
Number of sales by loan-to-value (LTV) ratio,>95%,Yorkshire and The Humber,Q2-2019,103
Number of sales by loan-to-value (LTV) ratio,>95%,Yorkshire and The Humber,Q2-2017,105
Number of sales by loan-to-value (LTV) ratio,>95%,Yorkshire and The Humber,Q3-2020,42
Number of sales by loan-to-value (LTV) ratio,>95%,Yorkshire and The Humber,Q3-2018,84
Number of sales by loan-to-value (LTV) ratio,>95%,Yorkshire and The Humber,Q3-2019,109
Number of sales by loan-to-value (LTV) ratio,>95%,Yorkshire and The Humber,Q3-2017,112
Number of sales by loan-to-value (LTV) ratio,>95%,Yorkshire and The Humber,Q3-2021,153
Number of sales by loan-to-value (LTV) ratio,>95%,Yorkshire and The Humber,Q4-2020,29
Number of sales by loan-to-value (LTV) ratio,>95%,Yorkshire and The Humber,Q4-2019,98
Number of sales by loan-to-value (LTV) ratio,>95%,Yorkshire and The Humber,Q4-2018,110
Number of sales by loan-to-value (LTV) ratio,>95%,Yorkshire and The Humber,Q4-2021,118
Number of sales by loan-to-value (LTV) ratio,>95%,Yorkshire and The Humber,Q4-2017,121
Number of sales by loan-to-value (LTV) ratio,>95%,Unknown Region,Q1-2019,1
Number of sales by loan-to-value (LTV) ratio,>95%,Unknown Region,Q1-2020,1
Number of sales by loan-to-value (LTV) ratio,>95%,Unknown Region,Q1-2017,2
Number of sales by loan-to-value (LTV) ratio,>95%,Unknown Region,Q1-2021,2
Number of sales by loan-to-value (LTV) ratio,>95%,Unknown Region,Q1-2018,3
Number of sales by loan-to-value (LTV) ratio,>95%,Unknown Region,Q2-2018,1
Number of sales by loan-to-value (LTV) ratio,>95%,Unknown Region,Q2-2019,1
Number of sales by loan-to-value (LTV) ratio,>95%,Unknown Region,Q2-2021,1
Number of sales by loan-to-value (LTV) ratio,>95%,Unknown Region,Q2-2017,6
Number of sales by loan-to-value (LTV) ratio,>95%,Unknown Region,Q3-2020,1
Number of sales by loan-to-value (LTV) ratio,>95%,Unknown Region,Q3-2021,1
Number of sales by loan-to-value (LTV) ratio,>95%,Unknown Region,Q3-2018,2
Number of sales by loan-to-value (LTV) ratio,>95%,Unknown Region,Q3-2019,2
Number of sales by loan-to-value (LTV) ratio,>95%,Unknown Region,Q3-2017,3
Number of sales by loan-to-value (LTV) ratio,>95%,Unknown Region,Q4-2019,1
Number of sales by loan-to-value (LTV) ratio,>95%,Unknown Region,Q4-2021,1
Number of sales by loan-to-value (LTV) ratio,>95%,Unknown Region,Q4-2017,2
Number of sales by loan-to-value (LTV) ratio,>95%,Unknown Region,Q4-2018,3
Number of sales by loan-to-value (LTV) ratio,LTV Bands - Unspecified,London,Q1-2019,1
Number of sales by loan-to-value (LTV) ratio,LTV Bands - Unspecified,London,Q1-2021,3
Number of sales by loan-to-value (LTV) ratio,LTV Bands - Unspecified,London,Q1-2020,4
Number of sales by loan-to-value (LTV) ratio,LTV Bands - Unspecified,London,Q2-2019,2
Number of sales by loan-to-value (LTV) ratio,LTV Bands - Unspecified,London,Q2-2020,2
Number of sales by loan-to-value (LTV) ratio,LTV Bands - Unspecified,London,Q2-2018,3
Number of sales by loan-to-value (LTV) ratio,LTV Bands - Unspecified,London,Q2-2021,9
Number of sales by loan-to-value (LTV) ratio,LTV Bands - Unspecified,London,Q3-2019,1
Number of sales by loan-to-value (LTV) ratio,LTV Bands - Unspecified,London,Q3-2020,1
Number of sales by loan-to-value (LTV) ratio,LTV Bands - Unspecified,London,Q3-2017,2
Number of sales by loan-to-value (LTV) ratio,LTV Bands - Unspecified,London,Q3-2018,3
Number of sales by loan-to-value (LTV) ratio,LTV Bands - Unspecified,London,Q3-2021,4
Number of sales by loan-to-value (LTV) ratio,LTV Bands - Unspecified,London,Q4-2017,1
Number of sales by loan-to-value (LTV) ratio,LTV Bands - Unspecified,London,Q4-2021,1
Number of sales by loan-to-value (LTV) ratio,LTV Bands - Unspecified,London,Q4-2019,2
Number of sales by loan-to-value (LTV) ratio,LTV Bands - Unspecified,London,Q4-2020,3
Number of sales by loan-to-value (LTV) ratio,LTV Bands - Unspecified,London,Q4-2018,19
Number of sales by loan-to-value (LTV) ratio,LTV Bands - Unspecified,East Midlands,Q1-2017,1
Number of sales by loan-to-value (LTV) ratio,LTV Bands - Unspecified,East Midlands,Q1-2021,2
Number of sales by loan-to-value (LTV) ratio,LTV Bands - Unspecified,East Midlands,Q1-2020,4
Number of sales by loan-to-value (LTV) ratio,LTV Bands - Unspecified,East Midlands,Q2-2021,2
Number of sales by loan-to-value (LTV) ratio,LTV Bands - Unspecified,East Midlands,Q3-2017,1
Number of sales by loan-to-value (LTV) ratio,LTV Bands - Unspecified,East Midlands,Q3-2019,1
Number of sales by loan-to-value (LTV) ratio,LTV Bands - Unspecified,East Midlands,Q3-2020,1
Number of sales by loan-to-value (LTV) ratio,LTV Bands - Unspecified,East Midlands,Q3-2021,1
Number of sales by loan-to-value (LTV) ratio,LTV Bands - Unspecified,East Midlands,Q4-2017,2
Number of sales by loan-to-value (LTV) ratio,LTV Bands - Unspecified,East Midlands,Q4-2019,2
Number of sales by loan-to-value (LTV) ratio,LTV Bands - Unspecified,East Midlands,Q4-2018,15
Number of sales by loan-to-value (LTV) ratio,LTV Bands - Unspecified,East of England,Q1-2018,1
Number of sales by loan-to-value (LTV) ratio,LTV Bands - Unspecified,East of England,Q1-2019,1
Number of sales by loan-to-value (LTV) ratio,LTV Bands - Unspecified,East of England,Q1-2020,1
Number of sales by loan-to-value (LTV) ratio,LTV Bands - Unspecified,East of England,Q1-2021,2
Number of sales by loan-to-value (LTV) ratio,LTV Bands - Unspecified,East of England,Q2-2017,1
Number of sales by loan-to-value (LTV) ratio,LTV Bands - Unspecified,East of England,Q2-2018,2
Number of sales by loan-to-value (LTV) ratio,LTV Bands - Unspecified,East of England,Q2-2019,2
Number of sales by loan-to-value (LTV) ratio,LTV Bands - Unspecified,East of England,Q2-2020,2
Number of sales by loan-to-value (LTV) ratio,LTV Bands - Unspecified,East of England,Q2-2021,2
Number of sales by loan-to-value (LTV) ratio,LTV Bands - Unspecified,East of England,Q3-2019,1
Number of sales by loan-to-value (LTV) ratio,LTV Bands - Unspecified,East of England,Q3-2020,1
Number of sales by loan-to-value (LTV) ratio,LTV Bands - Unspecified,East of England,Q3-2021,2
Number of sales by loan-to-value (LTV) ratio,LTV Bands - Unspecified,East of England,Q4-2021,1
Number of sales by loan-to-value (LTV) ratio,LTV Bands - Unspecified,East of England,Q4-2017,2
Number of sales by loan-to-value (LTV) ratio,LTV Bands - Unspecified,East of England,Q4-2020,2
Number of sales by loan-to-value (LTV) ratio,LTV Bands - Unspecified,East of England,Q4-2019,5
Number of sales by loan-to-value (LTV) ratio,LTV Bands - Unspecified,East of England,Q4-2018,22
Number of sales by loan-to-value (LTV) ratio,LTV Bands - Unspecified,North East,Q2-2021,2
Number of sales by loan-to-value (LTV) ratio,LTV Bands - Unspecified,North East,Q3-2017,1
Number of sales by loan-to-value (LTV) ratio,LTV Bands - Unspecified,North East,Q3-2018,1
Number of sales by loan-to-value (LTV) ratio,LTV Bands - Unspecified,North East,Q4-2018,1
Number of sales by loan-to-value (LTV) ratio,LTV Bands - Unspecified,North West,Q1-2017,1
Number of sales by loan-to-value (LTV) ratio,LTV Bands - Unspecified,North West,Q1-2019,1
Number of sales by loan-to-value (LTV) ratio,LTV Bands - Unspecified,North West,Q2-2018,1
Number of sales by loan-to-value (LTV) ratio,LTV Bands - Unspecified,North West,Q2-2017,2
Number of sales by loan-to-value (LTV) ratio,LTV Bands - Unspecified,North West,Q2-2019,3
Number of sales by loan-to-value (LTV) ratio,LTV Bands - Unspecified,North West,Q3-2018,1
Number of sales by loan-to-value (LTV) ratio,LTV Bands - Unspecified,North West,Q3-2017,2
Number of sales by loan-to-value (LTV) ratio,LTV Bands - Unspecified,North West,Q3-2019,3
Number of sales by loan-to-value (LTV) ratio,LTV Bands - Unspecified,North West,Q3-2021,3
Number of sales by loan-to-value (LTV) ratio,LTV Bands - Unspecified,North West,Q4-2017,1
Number of sales by loan-to-value (LTV) ratio,LTV Bands - Unspecified,North West,Q4-2019,2
Number of sales by loan-to-value (LTV) ratio,LTV Bands - Unspecified,North West,Q4-2018,31
Number of sales by loan-to-value (LTV) ratio,LTV Bands - Unspecified,Northern Ireland,Q1-2019,1
Number of sales by loan-to-value (LTV) ratio,LTV Bands - Unspecified,Northern Ireland,Q4-2018,4
Number of sales by loan-to-value (LTV) ratio,LTV Bands - Unspecified,Scotland,Q2-2018,1
Number of sales by loan-to-value (LTV) ratio,LTV Bands - Unspecified,Scotland,Q3-2021,1
Number of sales by loan-to-value (LTV) ratio,LTV Bands - Unspecified,Scotland,Q4-2018,8
Number of sales by loan-to-value (LTV) ratio,LTV Bands - Unspecified,South East,Q1-2020,1
Number of sales by loan-to-value (LTV) ratio,LTV Bands - Unspecified,South East,Q1-2017,2
Number of sales by loan-to-value (LTV) ratio,LTV Bands - Unspecified,South East,Q1-2021,2
Number of sales by loan-to-value (LTV) ratio,LTV Bands - Unspecified,South East,Q2-2019,1
Number of sales by loan-to-value (LTV) ratio,LTV Bands - Unspecified,South East,Q2-2021,7
Number of sales by loan-to-value (LTV) ratio,LTV Bands - Unspecified,South East,Q3-2017,1
