category,account_open_date,number_of_sales
First time buyer,2020-05,13656
Remortgagors,2020-05,29715
Home movers/second or subsequent buyers,2020-06,19821
Council/registered social landlord tenant exercising their right to buy,2020-06,609
Remortgagors,2020-06,26430
Other,2020-06,3081
First time buyer,2020-06,19315
First time buyer,2020-07,23047
Remortgagors,2020-07,30884
Home movers/second or subsequent buyers,2020-07,23682
Council/registered social landlord tenant exercising their right to buy,2020-07,634
Other,2020-07,3836
First time buyer,2020-08,24874
Other,2020-08,3834
Council/registered social landlord tenant exercising their right to buy,2020-08,507
Remortgagors,2020-08,23043
Home movers/second or subsequent buyers,2020-08,25311
Remortgagors,2020-09,25636
First time buyer,2020-09,28614
Home movers/second or subsequent buyers,2020-09,29057
Other,2020-09,4674
Council/registered social landlord tenant exercising their right to buy,2020-09,487
Other,2020-10,4802
Home movers/second or subsequent buyers,2020-10,38144
Council/registered social landlord tenant exercising their right to buy,2020-10,479
Remortgagors,2020-10,27188
First time buyer,2020-10,34850
Council/registered social landlord tenant exercising their right to buy,2020-11,482
Other,2020-11,4678
Home movers/second or subsequent buyers,2020-11,37835
Remortgagors,2020-11,22513
First time buyer,2020-11,33018
Other,2020-12,4355
Council/registered social landlord tenant exercising their right to buy,2020-12,414
Remortgagors,2020-12,22227
Home movers/second or subsequent buyers,2020-12,42146
First time buyer,2020-12,34981
Council/registered social landlord tenant exercising their right to buy,2021-01,460
First time buyer,2021-01,24591
Remortgagors,2021-01,28617
Home movers/second or subsequent buyers,2021-01,32799
Other,2021-01,4022
Other,2021-02,3949
Council/registered social landlord tenant exercising their right to buy,2021-02,610
First time buyer,2021-02,29808
Remortgagors,2021-02,22363
Home movers/second or subsequent buyers,2021-02,40713
First time buyer,2021-03,42004
Other,2021-03,4877
Home movers/second or subsequent buyers,2021-03,59256
Remortgagors,2021-03,23732
Council/registered social landlord tenant exercising their right to buy,2021-03,787
Home movers/second or subsequent buyers,2021-04,33541
Council/registered social landlord tenant exercising their right to buy,2021-04,636
First time buyer,2021-04,29653
Other,2021-04,4019
Remortgagors,2021-04,25105
Other,2021-05,4042
Council/registered social landlord tenant exercising their right to buy,2021-05,667
Remortgagors,2021-05,21090
First time buyer,2021-05,28515
Home movers/second or subsequent buyers,2021-05,29553
Remortgagors,2021-06,26574
Home movers/second or subsequent buyers,2021-06,70796
Council/registered social landlord tenant exercising their right to buy,2021-06,837
Other,2021-06,4966
First time buyer,2021-06,53837
Council/registered social landlord tenant exercising their right to buy,2021-07,750
First time buyer,2021-07,26348
Remortgagors,2021-07,27976
Home movers/second or subsequent buyers,2021-07,20486
Other,2021-07,4241
First time buyer,2021-08,31152
Remortgagors,2021-08,24354
Home movers/second or subsequent buyers,2021-08,29491
Other,2021-08,4054
Council/registered social landlord tenant exercising their right to buy,2021-08,660
First time buyer,2021-09,42781
Other,2021-09,4616
Home movers/second or subsequent buyers,2021-09,52256
Remortgagors,2021-09,28139
Council/registered social landlord tenant exercising their right to buy,2021-09,859
Other,2021-10,4518
Council/registered social landlord tenant exercising their right to buy,2021-10,847
Remortgagors,2021-10,30684
Home movers/second or subsequent buyers,2021-10,20254
First time buyer,2021-10,27477
Council/registered social landlord tenant exercising their right to buy,2021-11,894
Remortgagors,2021-11,35781
Home movers/second or subsequent buyers,2021-11,26520
First time buyer,2021-11,29843
Other,2021-11,5250
Council/registered social landlord tenant exercising their right to buy,2021-12,817
Home movers/second or subsequent buyers,2021-12,28952
First time buyer,2021-12,32222
Remortgagors,2021-12,26093
Other,2021-12,4343
