category,account_open_date,number_of_sales
>90% - <=95%,2018-03,6987
LTV Bands - Unspecified,2018-03,1
>95%,2018-03,398
>50% - <=75%,2018-03,28658
0% - <=30%,2018-03,11352
>30% - <=50%,2018-04,15215
>90% - <=95%,2018-04,6624
>50% - <=75%,2018-04,30068
>95%,2018-04,324
0% - <=30%,2018-04,11457
>85% - <=90%,2018-04,11936
>75% - <=85%,2018-04,17410
LTV Bands - Unspecified,2018-04,7
>75% - <=85%,2018-05,18600
>90% - <=95%,2018-05,8205
>30% - <=50%,2018-05,15268
>50% - <=75%,2018-05,30399
LTV Bands - Unspecified,2018-05,3
>85% - <=90%,2018-05,14449
>95%,2018-05,407
0% - <=30%,2018-05,12064
0% - <=30%,2018-06,12072
>75% - <=85%,2018-06,21284
>85% - <=90%,2018-06,14460
>95%,2018-06,367
>90% - <=95%,2018-06,8428
>50% - <=75%,2018-06,33811
LTV Bands - Unspecified,2018-06,1
>30% - <=50%,2018-06,15493
>30% - <=50%,2018-07,16969
>90% - <=95%,2018-07,8724
>95%,2018-07,417
0% - <=30%,2018-07,12720
>85% - <=90%,2018-07,15441
>75% - <=85%,2018-07,21742
LTV Bands - Unspecified,2018-07,3
>50% - <=75%,2018-07,35802
>95%,2018-08,467
>90% - <=95%,2018-08,9867
>50% - <=75%,2018-08,34314
>85% - <=90%,2018-08,16931
LTV Bands - Unspecified,2018-08,2
0% - <=30%,2018-08,13052
>30% - <=50%,2018-08,16657
>75% - <=85%,2018-08,21610
>75% - <=85%,2018-09,18713
>95%,2018-09,407
>85% - <=90%,2018-09,13714
0% - <=30%,2018-09,11506
>50% - <=75%,2018-09,29874
>30% - <=50%,2018-09,14553
>90% - <=95%,2018-09,7742
LTV Bands - Unspecified,2018-09,1
>85% - <=90%,2018-10,15971
>75% - <=85%,2018-10,22417
0% - <=30%,2018-10,14110
>30% - <=50%,2018-10,18613
>50% - <=75%,2018-10,37848
>95%,2018-10,442
>90% - <=95%,2018-10,9029
LTV Bands - Unspecified,2018-10,56
0% - <=30%,2018-11,13847
LTV Bands - Unspecified,2018-11,133
>85% - <=90%,2018-11,16427
>90% - <=95%,2018-11,9750
>75% - <=85%,2018-11,21094
>50% - <=75%,2018-11,34086
>30% - <=50%,2018-11,17410
>95%,2018-11,524
>50% - <=75%,2018-12,30079
LTV Bands - Unspecified,2018-12,1
0% - <=30%,2018-12,10742
>30% - <=50%,2018-12,14185
>85% - <=90%,2018-12,13073
>95%,2018-12,353
>75% - <=85%,2018-12,18612
>90% - <=95%,2018-12,7789
>85% - <=90%,2019-01,13242
LTV Bands - Unspecified,2019-01,1
>90% - <=95%,2019-01,7719
0% - <=30%,2019-01,12319
>75% - <=85%,2019-01,18122
>50% - <=75%,2019-01,32643
>95%,2019-01,328
>30% - <=50%,2019-01,15978
>75% - <=85%,2019-02,15891
>90% - <=95%,2019-02,7366
>85% - <=90%,2019-02,11776
0% - <=30%,2019-02,10830
>95%,2019-02,302
LTV Bands - Unspecified,2019-02,4
>50% - <=75%,2019-02,27337
>30% - <=50%,2019-02,13928
>50% - <=75%,2019-03,26630
>85% - <=90%,2019-03,12627
>30% - <=50%,2019-03,13401
0% - <=30%,2019-03,11243
>90% - <=95%,2019-03,7988
>95%,2019-03,355
>75% - <=85%,2019-03,16313
>85% - <=90%,2019-04,12965
>90% - <=95%,2019-04,8761
>30% - <=50%,2019-04,13974
>50% - <=75%,2019-04,28068
>95%,2019-04,381
0% - <=30%,2019-04,11481
>75% - <=85%,2019-04,17122
LTV Bands - Unspecified,2019-04,3
>95%,2019-05,377
>50% - <=75%,2019-05,30986
>30% - <=50%,2019-05,14945
>90% - <=95%,2019-05,10029
>85% - <=90%,2019-05,14808
>75% - <=85%,2019-05,19304
0% - <=30%,2019-05,11864
LTV Bands - Unspecified,2019-05,3
>30% - <=50%,2019-06,13818
>85% - <=90%,2019-06,13789
>95%,2019-06,367
LTV Bands - Unspecified,2019-06,8
0% - <=30%,2019-06,11288
>75% - <=85%,2019-06,18993
>90% - <=95%,2019-06,9966
>50% - <=75%,2019-06,29739
>95%,2019-07,414
0% - <=30%,2019-07,13015
>75% - <=85%,2019-07,19660
>90% - <=95%,2019-07,11059
>50% - <=75%,2019-07,31938
LTV Bands - Unspecified,2019-07,6
>30% - <=50%,2019-07,16211
>85% - <=90%,2019-07,15185
>90% - <=95%,2019-08,11535
LTV Bands - Unspecified,2019-08,3
>30% - <=50%,2019-08,15715
>95%,2019-08,414
0% - <=30%,2019-08,12411
>50% - <=75%,2019-08,31438
>85% - <=90%,2019-08,15875
>75% - <=85%,2019-08,20074
>75% - <=85%,2019-09,19443
>90% - <=95%,2019-09,9996
>50% - <=75%,2019-09,31725
0% - <=30%,2019-09,11564
>30% - <=50%,2019-09,14895
>95%,2019-09,377
LTV Bands - Unspecified,2019-09,4
>85% - <=90%,2019-09,13787
>95%,2019-10,406
>85% - <=90%,2019-10,15465
0% - <=30%,2019-10,12863
>50% - <=75%,2019-10,34405
>30% - <=50%,2019-10,16364
LTV Bands - Unspecified,2019-10,7
>75% - <=85%,2019-10,21029
>90% - <=95%,2019-10,11396
>85% - <=90%,2019-11,14337
>90% - <=95%,2019-11,10725
LTV Bands - Unspecified,2019-11,6
>75% - <=85%,2019-11,19308
0% - <=30%,2019-11,12146
>50% - <=75%,2019-11,32189
>95%,2019-11,409
>30% - <=50%,2019-11,15656
>95%,2019-12,377
0% - <=30%,2019-12,10750
>85% - <=90%,2019-12,13274
>90% - <=95%,2019-12,9346
>50% - <=75%,2019-12,30605
>30% - <=50%,2019-12,13774
LTV Bands - Unspecified,2019-12,3
>75% - <=85%,2019-12,19121
>90% - <=95%,2020-01,8669
0% - <=30%,2020-01,12079
LTV Bands - Unspecified,2020-01,4
>30% - <=50%,2020-01,15859
>95%,2020-01,415
>85% - <=90%,2020-01,12590
>50% - <=75%,2020-01,31791
>75% - <=85%,2020-01,18508
>90% - <=95%,2020-02,8037
>95%,2020-02,392
>30% - <=50%,2020-02,14188
0% - <=30%,2020-02,11034
>50% - <=75%,2020-02,26809
LTV Bands - Unspecified,2020-02,6
>75% - <=85%,2020-02,15042
>85% - <=90%,2020-02,11582
>90% - <=95%,2020-03,8590
>95%,2020-03,414
>75% - <=85%,2020-03,16413
>50% - <=75%,2020-03,27227
0% - <=30%,2020-03,11104
>30% - <=50%,2020-03,13534
LTV Bands - Unspecified,2020-03,6
>85% - <=90%,2020-03,11626
>75% - <=85%,2020-04,10430
>30% - <=50%,2020-04,9339
>85% - <=90%,2020-04,6409
LTV Bands - Unspecified,2020-04,2
>50% - <=75%,2020-04,18815
>95%,2020-04,184
0% - <=30%,2020-04,7080
>90% - <=95%,2020-04,4499
>85% - <=90%,2020-05,7138
>50% - <=75%,2020-05,19206
>75% - <=85%,2020-05,10628
LTV Bands - Unspecified,2020-05,2
>30% - <=50%,2020-05,9620
>90% - <=95%,2020-05,5080
0% - <=30%,2020-05,7082
>95%,2020-05,206
>30% - <=50%,2020-06,10215
>50% - <=75%,2020-06,21609
>75% - <=85%,2020-06,13674
LTV Bands - Unspecified,2020-06,2
>85% - <=90%,2020-06,9147
>90% - <=95%,2020-06,6275
>95%,2020-06,279
0% - <=30%,2020-06,8055
>85% - <=90%,2020-07,10862
>95%,2020-07,261
>30% - <=50%,2020-07,12163
0% - <=30%,2020-07,9633
>50% - <=75%,2020-07,25753
>75% - <=85%,2020-07,17330
LTV Bands - Unspecified,2020-07,1
>90% - <=95%,2020-07,6080
0% - <=30%,2020-08,8830
>90% - <=95%,2020-08,4355
>30% - <=50%,2020-08,10847
>75% - <=85%,2020-08,19029
LTV Bands - Unspecified,2020-08,1
>85% - <=90%,2020-08,10748
>50% - <=75%,2020-08,23570
>95%,2020-08,189
LTV Bands - Unspecified,2020-09,2
0% - <=30%,2020-09,10137
>30% - <=50%,2020-09,11865
>95%,2020-09,143
>90% - <=95%,2020-09,2939
>50% - <=75%,2020-09,27553
>85% - <=90%,2020-09,11186
>75% - <=85%,2020-09,24643
>30% - <=50%,2020-10,14389
>85% - <=90%,2020-10,13652
LTV Bands - Unspecified,2020-10,6
>90% - <=95%,2020-10,2330
>95%,2020-10,138
>50% - <=75%,2020-10,32504
>75% - <=85%,2020-10,31310
0% - <=30%,2020-10,11134
>30% - <=50%,2020-11,13478
>85% - <=90%,2020-11,12649
>95%,2020-11,144
LTV Bands - Unspecified,2020-11,2
0% - <=30%,2020-11,10574
>50% - <=75%,2020-11,30631
>90% - <=95%,2020-11,1779
>75% - <=85%,2020-11,29269
0% - <=30%,2020-12,10546
>75% - <=85%,2020-12,30913
>95%,2020-12,122
>50% - <=75%,2020-12,33796
>85% - <=90%,2020-12,12675
>30% - <=50%,2020-12,14398
>90% - <=95%,2020-12,1672
LTV Bands - Unspecified,2020-12,1
LTV Bands - Unspecified,2021-01,3
0% - <=30%,2021-01,10116
>75% - <=85%,2021-01,25076
>95%,2021-01,103
>85% - <=90%,2021-01,9642
>30% - <=50%,2021-01,13936
>50% - <=75%,2021-01,30268
>90% - <=95%,2021-01,1345
>85% - <=90%,2021-02,11270
>95%,2021-02,110
0% - <=30%,2021-02,10436
>30% - <=50%,2021-02,14175
>75% - <=85%,2021-02,27594
LTV Bands - Unspecified,2021-02,7
>50% - <=75%,2021-02,32040
>90% - <=95%,2021-02,1811
>75% - <=85%,2021-03,36706
LTV Bands - Unspecified,2021-03,7
